Survived,Age,SibSp,Parch,Fare
1,0.42,0,1,8.5167
1,0.67,1,1,14.5
1,0.75,2,1,19.2583
1,0.75,2,1,19.2583
1,0.83,0,2,29
1,0.83,1,1,18.75
1,0.92,1,2,151.55
0,1,4,1,39.6875
1,1,1,1,11.1333
1,1,2,1,39
1,1,0,2,15.7417
0,1,5,2,46.9
1,1,1,2,20.575
1,1,0,2,37.0042
0,2,3,1,21.075
0,2,4,1,29.125
0,2,4,2,31.275
0,2,0,1,10.4625
0,2,1,2,151.55
1,2,1,1,26
1,2,0,1,12.2875
1,2,1,1,26
0,2,3,2,27.9
0,2,4,1,39.6875
1,3,1,2,41.5792
1,3,1,1,26
1,3,4,2,31.3875
1,3,1,1,15.9
0,3,3,1,21.075
1,3,1,1,18.75
1,4,1,1,16.7
0,4,3,2,27.9
0,4,4,1,29.125
1,4,0,2,22.025
1,4,0,2,81.8583
1,4,2,1,39
1,4,0,1,13.4167
1,4,1,1,23
0,4,4,2,31.275
1,4,1,1,11.1333
1,5,1,2,27.75
1,5,4,2,31.3875
1,5,2,1,19.2583
1,5,0,0,12.475
1,6,0,1,33
1,6,0,1,12.475
0,6,4,2,31.275
0,7,4,1,39.6875
0,7,4,1,29.125
1,7,0,2,26.25
0,8,3,1,21.075
1,8,0,2,26.25
1,8,1,1,36.75
0,8,4,1,29.125
0,9,2,2,34.375
1,9,0,2,20.525
0,9,4,2,31.3875
0,9,5,2,46.9
1,9,1,1,15.9
0,9,4,2,31.275
0,9,3,2,27.9
0,9,1,1,15.2458
0,10,0,2,24.15
0,10,3,2,27.9
0,11,5,2,46.9
0,11,4,2,31.275
0,11,0,0,18.7875
1,11,1,2,120
1,12,1,0,11.2417
1,13,0,1,19.5
1,13,0,0,7.2292
1,14,1,0,30.0708
0,14,0,0,7.8542
1,14,1,0,11.2417
1,14,1,2,120
0,14,5,2,46.9
0,14,4,1,39.6875
0,14.5,1,0,14.4542
1,15,0,0,8.0292
0,15,1,1,7.2292
1,15,0,1,211.3375
1,15,1,0,14.4542
1,15,0,0,7.225
0,16,5,2,46.9
0,16,1,3,34.375
0,16,0,0,9.2167
1,16,0,0,7.7333
1,16,0,0,7.75
1,16,0,0,8.05
0,16,4,1,39.6875
0,16,0,0,9.5
1,16,0,1,57.9792
0,16,2,0,18
1,16,0,0,86.5
0,16,0,0,8.05
0,16,1,1,20.25
0,16,0,0,7.775
0,16,0,0,26
0,16,0,0,10.5
1,16,0,1,39.4
1,17,4,2,7.925
1,17,0,0,10.5
0,17,0,0,14.4583
0,17,0,0,8.6625
1,17,1,0,108.9
1,17,0,0,12
0,17,0,0,7.125
0,17,0,0,8.6625
0,17,1,1,7.2292
1,17,0,2,110.8833
0,17,1,0,7.0542
1,17,1,0,57
0,17,0,0,8.6625
0,18,2,0,18
0,18,1,0,17.8
0,18,0,0,11.5
0,18,1,1,7.8542
1,18,0,0,8.05
0,18,0,0,13
1,18,2,2,262.375
0,18,1,0,6.4958
0,18,0,0,73.5
1,18,0,2,13
0,18,1,1,20.2125
0,18,1,0,108.9
1,18,0,2,79.65
1,18,0,1,23
0,18,0,0,6.75
0,18,0,0,7.775
1,18,0,0,9.8417
0,18,0,0,7.7958
1,18,1,0,227.525
0,18,0,1,14.4542
0,18,0,0,11.5
0,18,0,0,7.75
1,18,0,0,7.4958
0,18,0,0,7.775
0,18,0,0,8.3
1,18,0,1,9.35
0,19,3,2,263
1,19,0,0,7.8792
0,19,0,0,8.1583
1,19,0,2,26.2833
0,19,0,0,6.75
0,19,1,1,36.75
0,19,0,0,13
1,19,1,0,7.8542
1,19,0,0,10.5
0,19,0,0,10.5
1,19,0,0,8.05
1,19,1,0,91.0792
0,19,0,0,0
0,19,0,0,8.05
0,19,0,0,7.775
1,19,0,0,26
1,19,1,0,26
0,19,0,0,7.8958
0,19,0,0,14.5
0,19,0,0,7.8958
0,19,0,0,10.1708
0,19,0,0,7.65
0,19,1,0,53.1
0,19,0,0,7.8958
1,19,0,0,30
0,20,0,0,8.05
0,20,0,0,7.8542
0,20,1,0,9.825
0,20,0,0,7.05
0,20,0,0,4.0125
0,20,0,0,8.6625
0,20,0,0,9.5
1,20,1,1,15.7417
0,20,0,0,7.8542
1,20,1,0,7.925
0,20,0,0,9.225
0,20,0,0,8.6625
1,20,0,0,7.2292
0,20,0,0,7.925
0,20,0,0,9.8458
0,20.5,0,0,7.25
0,21,0,0,8.05
0,21,0,0,7.8
1,21,0,0,10.5
0,21,0,0,73.5
0,21,0,1,77.2875
1,21,0,0,7.65
0,21,0,0,7.925
0,21,2,0,73.5
0,21,0,0,7.925
1,21,0,0,7.7958
0,21,1,0,9.825
0,21,0,0,7.775
0,21,0,0,7.7333
0,21,2,2,34.375
0,21,0,0,7.25
0,21,0,0,8.05
0,21,0,0,7.75
0,21,0,0,7.8542
0,21,0,0,16.1
1,21,0,0,77.9583
0,21,0,0,8.4333
1,21,2,2,262.375
0,21,0,0,8.6625
0,21,1,0,11.5
0,22,1,0,7.25
0,22,0,0,7.2292
0,22,0,0,9
0,22,0,0,8.05
1,22,0,0,7.75
1,22,1,0,66.6
0,22,0,0,7.25
0,22,0,0,9.35
0,22,0,0,7.125
0,22,0,0,7.8958
1,22,0,0,7.75
0,22,0,0,7.25
1,22,1,1,29
1,22,0,1,55
0,22,0,0,135.6333
1,22,0,0,7.25
0,22,0,0,7.7958
0,22,0,0,9.8375
0,22,0,0,7.5208
0,22,0,0,7.8958
1,22,0,2,49.5
1,22,0,0,7.225
1,22,0,0,7.775
0,22,0,0,8.05
1,22,1,2,41.5792
1,22,0,0,151.55
0,22,0,0,10.5167
1,23,3,2,263
1,23,0,1,63.3583
0,23,0,0,15.0458
0,23,0,0,9.225
1,23,1,0,113.275
0,23,0,0,10.5
1,23,0,0,13.7917
0,23,2,1,11.5
1,23,0,0,7.55
0,23,0,0,13
0,23,0,0,13
0,23,0,0,13
0,23,0,0,7.8958
0,23,0,0,7.925
0,23,0,0,7.8542
0,23.5,0,0,7.2292
0,24,0,0,8.05
0,24,0,1,247.5208
1,24,0,0,7.1417
0,24,0,0,79.2
1,24,1,0,15.85
0,24,0,0,13
0,24,0,0,7.05
0,24,0,0,10.5
1,24,0,2,14.5
0,24,0,0,8.85
0,24,0,0,7.8958
1,24,0,0,83.1583
1,24,1,0,26
1,24,3,2,263
1,24,0,0,13
1,24,0,0,69.3
1,24,0,2,16.7
1,24,2,3,18.75
0,24,0,0,7.7958
0,24,0,0,7.4958
0,24,2,0,24.15
1,24,2,1,27
1,24,1,2,65
1,24,0,0,69.3
0,24,2,0,73.5
1,24,0,0,49.5042
0,24,1,0,16.1
0,24,0,0,9.5
1,24,0,3,19.2583
0,24,0,0,13
0,24.5,0,0,8.05
0,25,0,0,7.65
0,25,0,0,13
0,25,0,0,7.775
1,25,1,0,7.775
1,25,0,0,0
0,25,0,0,13
0,25,1,0,17.8
1,25,1,0,55.4417
0,25,1,0,7.775
1,25,1,0,91.0792
0,25,1,2,151.55
1,25,1,1,30
0,25,0,0,13
0,25,1,2,41.5792
0,25,0,0,7.225
0,25,0,0,7.7417
0,25,1,0,26
0,25,1,0,7.925
0,25,0,0,7.05
0,25,0,0,7.25
0,25,0,0,7.8958
1,25,0,1,26
0,25,0,0,7.05
1,26,0,0,7.925
0,26,2,0,8.6625
0,26,1,0,14.4542
0,26,1,2,20.575
0,26,0,0,7.775
1,26,0,0,18.7875
1,26,0,0,78.85
0,26,1,1,26
1,26,0,0,7.8542
0,26,0,0,8.05
1,26,0,0,56.4958
0,26,1,0,16.1
0,26,0,0,10.5
0,26,0,0,7.8958
0,26,1,0,7.8542
0,26,0,0,7.8875
0,26,0,0,7.8958
1,26,0,0,30
1,27,0,2,11.1333
0,27,1,0,21
1,27,0,0,7.7958
1,27,0,0,7.925
0,27,0,0,13
0,27,0,0,7.8958
0,27,0,2,211.5
0,27,0,0,26
1,27,0,0,30.5
0,27,1,0,14.4542
1,27,0,0,76.7292
1,27,0,0,10.5
1,27,1,0,53.1
1,27,0,0,6.975
1,27,0,0,8.6625
1,27,0,1,12.475
1,27,1,0,13.8583
0,27,0,0,13
1,28,0,0,35.5
0,28,1,0,82.1708
0,28,0,0,47.1
0,28,0,0,7.8958
0,28,0,0,7.8958
0,28,0,0,56.4958
0,28,0,0,9.5
0,28,0,0,7.8542
0,28,0,0,7.8958
0,28,0,0,13
0,28,0,0,9.5
0,28,2,0,7.925
1,28,0,0,12.65
0,28,1,0,15.85
0,28,1,1,14.4
1,28,1,0,26
1,28,0,0,26.55
1,28,0,0,13
0,28,0,0,22.525
0,28,0,0,13.5
1,28,0,0,13
0,28,0,0,7.7958
0,28,0,1,33
1,28,1,0,24
0,28,0,0,10.5
0,28.5,0,0,7.2292
0,28.5,0,0,16.1
1,29,1,0,26
1,29,0,0,10.5
1,29,0,0,9.5
0,29,0,0,8.05
0,29,1,0,21
1,29,1,0,26
0,29,0,0,7.775
0,29,0,0,10.5
0,29,1,1,10.4625
1,29,0,2,15.2458
0,29,1,0,66.6
0,29,1,0,27.7208
0,29,0,0,7.875
1,29,0,0,7.8958
0,29,1,0,7.0458
1,29,0,0,7.75
0,29,0,4,21.075
0,29,0,0,9.4833
1,29,0,0,211.3375
0,29,0,0,30
1,30,0,0,12.475
0,30,0,0,8.05
0,30,0,0,13
0,30,0,0,13
0,30,0,0,10.5
0,30,0,0,7.225
0,30,1,0,16.1
1,30,0,0,86.5
1,30,0,0,9.5
0,30,1,0,24
1,30,0,0,56.9292
1,30,0,0,12.35
0,30,0,0,7.25
0,30,0,0,13
0,30,0,0,27.75
0,30,0,0,8.05
1,30,0,0,93.5
0,30,0,0,8.6625
1,30,0,0,106.425
0,30,0,0,7.8958
1,30,3,0,21
1,30,0,0,13
0,30,0,0,7.2292
0,30,1,1,24.15
1,30,0,0,31
0,30.5,0,0,7.75
0,30.5,0,0,8.05
0,31,1,0,18
1,31,1,0,113.275
1,31,0,2,164.8667
1,31,1,1,20.525
0,31,0,0,7.8542
0,31,0,0,10.5
0,31,1,1,26.25
0,31,1,0,52
1,31,0,0,13
1,31,1,0,57
1,31,0,0,7.925
0,31,0,0,7.75
1,31,0,0,8.6833
1,31,1,1,26.25
0,31,0,0,7.775
0,31,1,1,37.0042
0,31,0,0,50.4958
0,32,0,0,10.5
1,32,0,0,56.4958
1,32,0,0,13
0,32,1,0,15.85
1,32,0,0,76.2917
0,32,0,0,7.925
1,32,0,0,8.05
0,32,0,0,7.8958
1,32,1,0,26
1,32,0,0,7.8542
1,32,0,0,7.925
1,32,0,0,30.5
0,32,0,0,7.925
0,32,1,1,15.5
0,32,2,0,73.5
0,32,0,0,8.3625
1,32,0,0,56.4958
0,32,0,0,7.75
0,32.5,1,0,30.0708
1,32.5,0,0,13
1,33,3,0,15.85
0,33,0,0,8.6542
0,33,0,0,7.8958
0,33,0,0,12.275
0,33,0,0,8.6625
1,33,1,0,90
1,33,1,2,27.75
1,33,0,2,26
0,33,1,1,20.525
0,33,0,0,7.775
0,33,0,0,9.5
1,33,0,0,86.5
1,33,1,0,53.1
0,33,0,0,5
0,33,0,0,7.8958
1,34,0,0,13
1,34,0,1,23
0,34,1,0,26
0,34,0,0,6.4958
0,34,1,0,21
1,34,1,1,32.5
1,34,0,0,26.55
0,34,0,0,8.05
0,34,1,0,21
1,34,0,0,10.5
1,34,0,0,13
0,34,1,1,14.4
0,34,0,0,13
0,34,0,0,8.05
0,34,0,0,13
0,34.5,0,0,6.4375
1,35,1,0,53.1
0,35,0,0,8.05
0,35,0,0,26
1,35,0,0,21
1,35,1,0,83.475
1,35,0,0,512.3292
1,35,0,0,135.6333
1,35,1,1,20.25
0,35,0,0,7.05
1,35,1,0,52
1,35,1,0,90
0,35,0,0,7.125
1,35,0,0,26.55
0,35,0,0,8.05
1,35,0,0,26.2875
1,35,0,0,512.3292
0,35,0,0,10.5
0,35,0,0,7.8958
0,36,0,0,0
0,36,0,0,7.8958
0,36,0,0,10.5
0,36,0,0,12.875
1,36,0,0,135.6333
1,36,0,0,13
0,36,0,0,13
1,36,0,0,13
1,36,1,2,120
0,36,1,2,27.75
1,36,0,0,26.2875
1,36,1,0,26
1,36,0,2,71
1,36,1,0,17.4
1,36,0,0,26.3875
0,36,0,0,40.125
0,36,1,1,24.15
0,36,1,0,15.55
0,36,0,0,7.4958
1,36,0,1,512.3292
0,36,1,0,78.85
1,36,1,2,120
0,36.5,0,2,26
0,37,2,0,7.925
0,37,1,0,53.1
1,37,1,1,52.5542
0,37,0,1,29.7
0,37,0,0,9.5875
0,37,1,0,26
1,38,1,0,71.2833
1,38,1,5,31.3875
1,38,0,0,80
0,38,0,0,7.8958
1,38,1,0,90
0,38,0,1,153.4625
0,38,0,0,13
0,38,0,0,7.05
0,38,0,0,8.6625
1,38,0,0,227.525
0,38,0,0,0
0,39,1,5,31.275
1,39,0,0,7.925
0,39,0,0,7.925
1,39,1,1,79.65
1,39,1,0,55.9
1,39,1,1,110.8833
0,39,1,5,31.275
0,39,0,0,26
0,39,0,0,13
0,39,0,0,0
0,39,0,0,13
0,39,0,0,24.15
1,39,1,1,83.1583
0,39,0,5,29.125
0,40,0,0,27.7208
0,40,1,0,9.475
1,40,0,0,15.75
0,40,1,1,15.5
1,40,0,0,31
0,40,0,0,0
1,40,1,1,134.5
1,40,0,0,13
0,40,1,4,27.9
0,40,0,0,7.8958
1,40,0,0,153.4625
0,40,0,0,7.225
1,40,1,1,39
0,40.5,0,2,14.5
0,40.5,0,0,7.75
0,41,0,2,20.2125
1,41,0,1,19.5
1,41,0,0,134.5
0,41,0,5,39.6875
0,41,0,0,7.125
0,41,2,0,14.1083
0,42,1,0,52
0,42,0,0,13
0,42,0,1,8.4042
0,42,1,0,27
1,42,0,0,13
0,42,0,0,8.6625
1,42,0,0,227.525
1,42,1,0,26
1,42,1,0,52.5542
0,42,0,0,7.65
1,42,0,0,26.2875
0,42,0,0,7.55
1,42,0,0,13
0,43,1,1,26.25
0,43,0,0,8.05
0,43,1,6,46.9
1,43,0,1,211.3375
0,43,0,0,6.45
0,44,0,1,16.1
1,44,0,0,27.7208
0,44,1,0,26
0,44,2,0,90
1,44,0,0,7.925
1,44,0,1,57.9792
0,44,0,0,8.05
0,44,0,0,8.05
0,44,1,0,26
0,45,1,0,83.475
0,45,0,0,6.975
0,45,1,4,27.9
1,45,0,0,26.55
0,45,0,0,7.75
1,45,0,0,8.05
0,45,0,0,35.5
0,45,0,1,14.4542
1,45,1,1,26.25
0,45,0,0,26.55
1,45,0,0,13.5
1,45,1,1,164.8667
0,45.5,0,0,7.225
0,45.5,0,0,28.5
0,46,1,0,61.175
0,46,0,0,26
0,46,0,0,79.2
0,47,0,0,52
0,47,1,0,14.5
0,47,0,0,38.5
0,47,0,0,34.0208
0,47,0,0,15
0,47,0,0,7.25
0,47,0,0,25.5875
1,47,1,1,52.5542
0,47,0,0,9
1,48,0,0,26.55
0,48,0,0,13
1,48,1,0,39.6
1,48,1,0,76.7292
1,48,1,0,52
0,48,1,3,34.375
1,48,1,2,65
0,48,0,0,7.8542
1,48,0,0,25.9292
1,49,1,0,76.7292
1,49,1,0,89.1042
0,49,0,0,0
1,49,1,0,56.9292
0,49,1,1,110.8833
1,49,0,0,25.9292
0,50,0,0,28.7125
1,50,0,1,26
1,50,0,1,247.5208
0,50,1,0,55.9
1,50,0,0,10.5
0,50,0,0,8.05
1,50,0,0,10.5
0,50,1,0,106.425
1,50,2,0,133.65
0,50,0,0,13
0,51,0,0,12.525
0,51,0,1,61.3792
0,51,0,0,8.05
0,51,0,0,7.75
0,51,0,0,7.0542
1,51,1,0,77.9583
1,51,0,0,26.55
0,52,1,1,79.65
1,52,0,0,30.5
1,52,1,0,78.2667
0,52,0,0,13.5
0,52,0,0,13
1,52,1,1,93.5
1,53,2,0,51.4792
0,54,0,0,51.8625
0,54,0,1,77.2875
0,54,1,0,26
0,54,0,0,14
1,54,1,0,78.2667
1,54,1,0,59.4
0,54,0,0,26
1,54,1,3,23
1,55,0,0,16
0,55,0,0,30.5
0,55.5,0,0,8.05
0,56,0,0,30.6958
0,56,0,0,26.55
1,56,0,0,35.5
1,56,0,1,83.1583
0,57,0,0,12.35
0,57,0,0,10.5
1,58,0,0,26.55
1,58,0,0,146.5208
1,58,0,1,153.4625
0,58,0,0,29.7
0,58,0,2,113.275
0,59,0,0,7.25
0,59,0,0,13.5
1,60,1,0,75.25
1,60,1,1,79.2
0,60,1,1,39
0,60,0,0,26.55
0,61,0,0,33.5
0,61,0,0,6.2375
0,61,0,0,32.3208
0,62,0,0,26.55
0,62,0,0,26.55
1,62,0,0,10.5
1,62,0,0,80
1,63,1,0,77.9583
1,63,0,0,9.5875
0,64,1,4,263
0,64,0,0,26
0,65,0,1,61.9792
0,65,0,0,7.75
0,65,0,0,26.55
0,66,0,0,10.5
0,70,0,0,10.5
0,70,1,1,71
0,70.5,0,0,7.75
0,71,0,0,34.6542
0,71,0,0,49.5042
0,74,0,0,7.775
1,80,0,0,30